attribute_label_en,attribute_id,attribute_label_es,attribute_context_class_id,attribute_context_class_code,attribute_attr_class_id,attribute_attr_class_code,attribute_title_en,attribute_title_es,attribute_formula,attribute_explanation_en,attribute_explanation_es,attribute_reference
History of knowledge circulation,2040,Historia de la circulacion del conocimiento,5001,MMSS,4004,Tema,History of Knowledge Circulation,Historia de la circulación del conocimiento,,,,
History of probability,2041,Historia de la probabilidad,5001,MMSS,4004,Tema,History of Probability,Historia de la probabilidad,,,,
History of statistics,2042,Historia de la Estadistica,5001,MMSS,4004,Tema,History of Statistics,Historia de la Estadística,,,,
Institutionalization of statistics,2043,Institucionalizacion de la estadistica,5001,MMSS,4004,Tema,Institutionalization of Statistics,Institucionalización de la estadística,,,,
Knowledge representations,2044,Representaciones del Conocimiento,5001,MMSS,4004,Tema,Knowledge representations,Representaciones del Conocimiento,,,,
Maps of science,2045,Mapas de la ciencia,5001,MMSS,4004,Tema,Maps of science,Mapas de la ciencia,,,,
Mathematical modeling,2046,Modelizacion Matematica,5001,MMSS,4002,Linea,Mathematical modeling and knowledge representation,Modelización matemática y representacción del conocimiento científico,,,,
Quantitative History,2047,Historia cuantitativa,5001,MMSS,4004,Tema,Quantitative History,Historia cuantitativa,,,,
Reproduction of Academic Spaces,2048,Reproduccion de espacios academicos,5001,MMSS,4004,Tema,Reproduction of Academic Spaces,Reproducción de espacios académicos,,,,
Social Behavior,2049,Conducta social,5001,MMSS,4004,Tema,Social Behavior,Conducta social,,,,
Social categories and classifications,2050,Categorias y Clasificaciones sociales,5001,MMSS,4004,Tema,Social Categories and Classifications,Categorías y Clasificaciones sociales,,,,
Social complexity,2051,Complejidad social,5001,MMSS,4002,Linea,Social Complexity,Complejidad social,,,,
Social frontiers,2052,Fronteras sociales,5001,MMSS,4004,Tema,Social frontiers,Fronteras sociales,,,,
Social studies of CTS,2053,Estudios CTS,5001,MMSS,4007,Campo,Social studies of CTS,Estudios Sociales  y Filosóficos de la Ciencia y la Tecnología,,,,
Socio-ecology,2054,Socioecologia,5001,MMSS,4004,Tema,Socio-ecology,Socioecología,,,,
Socio-history of quantification,2055,Socio-historia de la cuantificacion,5001,MMSS,4002,Linea,Socio-history of quantification,Socio-historia de la cuantificación,,,,
Sociology of professions,2056,Sociologia de las profesiones,5001,MMSS,4004,Tema,Sociology of Professions,Sociología de las profesiones,,,,
Concept networks,2057,Redes conceptuales,5001,MMSS,4004,Tema,Concept networks,Redes conceptuales,,,Epistemología estructural del conocimiento,
Study of News,2058,Estudio de Noticias y Mercados Financieros,5001,MMSS,4004,Tema,Study of News and Financial Markets,Estudio de Noticias y Mercados Financieros,,,,
University s sociocultural history,2059,Historia sociocultural universitaria,5001,MMSS,4002,Linea,University’s sociocultural history,Historia sociocultural universitaria,,,,
Resilience,2060,Resilencia,5001,MMSS,4004,Tema,Resilience,Resilencia,,,,
Academic entities,2061,Entidades Academicas,5001,MMSS,4003,Objeto,"Academic Entities, Spaces, and Networks","Entidades, Espacios y Redes Académicas",,,,
Agri-food networks,2062,Redes agroalimentarias,5001,MMSS,4003,Objeto,Agri-food Networks,Redes agroalimentarias,,,,
Artificial intelligence,2063,Inteligencia artificial,5001,MMSS,4003,Objeto,Artificial Intelligence,Inteligencia artificial,,,,
Physical Theories,2064,Teorias fisicas,5001,MMSS,4003,Objeto,"Astronomy, Cosmology, and Gravitation Theories","Astronomía, Cosmología y Gravitación",,,,
Social Measurement,2065,Medicion social,5001,MMSS,4003,Objeto,Categories and Classifications of Social Measurement,Las categorías y clasificaciones de medición social,,,,
Cetaceans,2066,Cetaceos,5001,MMSS,4003,Objeto,Cetaceans,Cetáceos,,,,
Climate Change,2067,Cambio climatico,5001,MMSS,4003,Objeto,Climate Change,Cambio climático,,,,
Information Sources,2068,Cotejos de Documentos,5001,MMSS,4003,Objeto,Comparison of Documents and Information Sources,Cotejos de Documentos y fuentes de información,,,,
COVID-19,2069,COVID 19,5001,MMSS,4003,Objeto,COVID-19,COVID 19,,,,
Trajectories of Science,2070,Trayectorias en CyT,5001,MMSS,4003,Objeto,Development and Trajectories of Science and Technology,Desarrollo y trayectorias de C y T,,,,
Digital News,2071,Noticias digitales,5001,MMSS,4003,Objeto,Digital News and Journalism,"Noticias digitales, periodismo",,,,
Digital Technologies,2072,Tecnologias digitales,5001,MMSS,4003,Objeto,Digital Technologies,Tecnologías digitales,,,,
Economic System,2073,Sistema Economico,5001,MMSS,4003,Objeto,Economic System and Financial Markets,Sistema Económico y Mercados Financieros ,,,,
Collective Tasks,2074,Tareas colectivas,5001,MMSS,4003,Objeto,Groups of People Working on Collective Tasks,Grupos de personas trabajando en tareas colectivas,,,,
Human Vocal Interactions,2075,Interacciones vocales humanas,5001,MMSS,4003,Objeto,Human Vocal Interactions,Interacciones vocales humanas,,,,
Statistical Practices,2076,Institucionalizacion de la estadistica,5001,MMSS,4003,Objeto,Institutionalization Processes of Statistical Practice,Procesos de institucionalización de la práctica de la estadística ,,,,
Nanotechnology,2077,Nano-tecnologia,5001,MMSS,4003,Objeto,Nanotechnology,Nano-tecnología,,,,
Socio-ecosystems in Yucatan,2078,Socio-ecosistemas en Yucatan,5001,MMSS,4003,Objeto,Socio-ecosystems in Yucatan,Socio-ecosistemas en Yucatán,,,,
Socio-scientific Systems,2079,Sistemas socio-cientificos,5001,MMSS,4003,Objeto,Socio-technical and Socio-scientific Systems,Sistemas socio-técnicos y socio-científicos,,,,
Spider Monkeys,2080,Monos araña,5001,MMSS,4003,Objeto,Spider Monkeys,Monos araña,,,,
Studies of Scientists,2081,Estudios sobre cientificos,5001,MMSS,4003,Objeto,Studies and Biographies of Scientists,Estudios y biografías sobre científicos,,,,
Tourism,2082,Turismo,5001,MMSS,4003,Objeto,Tourism Promotion and Advertising,La promoción y publicidad turística,,,,
1st period,2083,Periodo 1,5001,MMSS,4005,Periodo,1st period,Periodo 1,,1988-1995,1988-1995,
2nd period,2084,Periodo 2,5001,MMSS,4005,Periodo,2nd period,Periodo 2,,1996-2010,1996-2010,
3rd period,2085,Periodo 3,5001,MMSS,4005,Periodo,3rd period,Periodo 3,,2011-2025,2011-2025,
Postdoctoral,2086,Posdoctorales,5001,MMSS,4006,Comision,Postdoctoral,Posdoctorales,,,,
Researcher,2087,Investigadores,5001,MMSS,4006,Comision,Researcher,Investigadores,,,,
Technician,2088,Tecnicos,5001,MMSS,4006,Comision,Technician,Técnicos,,,,
Short stay,2089,Estancia corta,5001,MMSS,4005,Periodo,Short visit,Estancia corta,,"Sabatical stays, short visits, short posdoctorates","Estancias sabáticas, visitas, posdoctorados de uno o dos años.",
Socio History,2090,Socio-historia,5001,MMSS,4007,Campo,Socio-history,Socio-historia,,,,
Studies of technitians,2091,Estudios sobre tecnologos,5001,MMSS,4003,Objeto,Studies of technicians,Estudios sobre tecnólogos,,,,
